"location","lon","lat","date","region","travel","roles"
"Glastonbury, CT, USA",-72.5450779,41.6861794,"07/01/2016 17:38:00","NA (North America)","To my nearest city","Attending a satRday, Helping out a satRday, Helping publicise the events, Presenting at a satRday, Organising a satRday, Helping improve the website, Helping with central organisation, Sponsoring an event"
"Cambridge",-71.1097335,42.3736158,"07/01/2016 17:48:00","EMEA (EU, Middle East & Africa)","To my nearest city","Attending a satRday"
"Chicago, USA",-87.6297982,41.8781136,"07/01/2016 17:55:00","NA (North America)","To my nearest city","Attending a satRday, Helping out a satRday, Presenting at a satRday"
"Sugar Land, Texas, USA",-95.6349463,29.6196787,"07/01/2016 18:03:00","NA (North America)","To my nearest city","Attending a satRday"
"Phoenix, az",-112.0740373,33.4483771,"07/01/2016 18:37:00","NA (North America)","To my nearest city","Attending a satRday, Helping out a satRday"
"Chicago, Il",-87.6297982,41.8781136,"07/01/2016 18:37:00","NA (North America)","To my nearest city","Attending a satRday, Presenting at a satRday, Organising a satRday, Helping with central organisation"
"Bentonville, Arkansas, United States",-94.2088172,36.3728538,"07/01/2016 19:38:00","NA (North America)","To my nearest city","Attending a satRday, Helping out a satRday"
"Genoa City Wisconsin",-88.3281487,42.4983517,"07/01/2016 20:08:00","NA (North America)","To my nearest city","Attending a satRday"
"New York,USA",-74.0059413,40.7127837,"07/01/2016 20:15:00","NA (North America)","To my nearest city","Attending a satRday, Helping out a satRday"
"Miami, FL",-80.1917902,25.7616798,"07/01/2016 20:16:00","NA (North America)","To my nearest city","Attending a satRday, Helping out a satRday, Helping publicise the events, Maybe presenting...maybe."
"Atlanta, GA, USA",-84.3879824,33.7489954,"07/01/2016 20:20:00","NA (North America)","To my nearest city","Attending a satRday"
"Pristina, Kosovo",21.1655028,42.6629138,"07/01/2016 20:41:00","EMEA (EU, Middle East & Africa)","To anywhere in my continent","Attending a satRday, Helping out a satRday, Helping publicise the events, Organising a satRday, Helping with central organisation"
"Durham, North Carolina, United States",-78.898619,35.9940329,"07/01/2016 20:41:00","NA (North America)","To anywhere in my country","Attending a satRday, Helping out a satRday, Presenting at a satRday, Organising a satRday, Helping with central organisation"
"Seattle, WA, USA",-122.3320708,47.6062095,"07/01/2016 20:41:00","NA (North America)","To my nearest city","Presenting at a satRday"
"Tampa",-82.4571776,27.950575,"07/01/2016 20:43:00","NA (North America)","To my nearest city","Attending a satRday"
"Chicago, IL",-87.6297982,41.8781136,"07/01/2016 20:46:00","NA (North America)","To my nearest city","Attending a satRday"
"Cardiff, Wales",-3.17909,51.481581,"07/01/2016 20:52:00","EMEA (EU, Middle East & Africa)","To anywhere in my country","Attending a satRday, Helping publicise the events"
"London",-0.1277583,51.5073509,"07/01/2016 20:53:00","EMEA (EU, Middle East & Africa)","To my nearest city","Attending a satRday"
"london, uk",-0.1277583,51.5073509,"07/01/2016 20:55:00","EMEA (EU, Middle East & Africa)","To my nearest city","Attending a satRday, Helping out a satRday, Helping publicise the events"
"Jackson, MS, USA",-90.1848103,32.2987573,"07/01/2016 20:59:00","NA (North America)","To my nearest city","Attending a satRday, Helping out a satRday, Helping with central organisation"
"Louisville, USA",-85.7584557,38.2526647,"07/01/2016 21:06:00","NA (North America)","To my nearest city","Attending a satRday, Presenting at a satRday, Organising a satRday"
"Winchester",NA,NA,"07/01/2016 21:16:00","EMEA (EU, Middle East & Africa)","To anywhere in my country","Attending a satRday, Helping out a satRday, Helping publicise the events"
"London",-0.1277583,51.5073509,"07/01/2016 21:33:00","EMEA (EU, Middle East & Africa)","To my nearest city","Attending a satRday"
"London , uk",NA,NA,"07/01/2016 21:37:00","EMEA (EU, Middle East & Africa)","To my nearest city","Attending a satRday"
"India",78.96288,20.593684,"07/01/2016 22:09:00","Other","To my nearest city","Attending a satRday, Helping out a satRday, Helping publicise the events"
"London",-0.1277583,51.5073509,"07/01/2016 23:16:00","EMEA (EU, Middle East & Africa)","To anywhere in my country","Attending a satRday, Helping out a satRday, Helping publicise the events, Presenting at a satRday, Helping improve the website, Helping with central organisation"
"London",-0.1277583,51.5073509,"07/01/2016 23:22:00","EMEA (EU, Middle East & Africa)","To anywhere in my country","Attending a satRday"
"Burnley, U.K.",-2.2405035,53.7892877,"07/01/2016 23:26:00","EMEA (EU, Middle East & Africa)","To my nearest city","Attending a satRday"
"London, England",-0.1277583,51.5073509,"07/01/2016 23:28:00","EMEA (EU, Middle East & Africa)","To my nearest city","Attending a satRday, Helping out a satRday, Helping publicise the events, Helping with central organisation"
"London",-0.1277583,51.5073509,"07/01/2016 23:28:00","EMEA (EU, Middle East & Africa)","To my nearest city","Attending a satRday"
"Poole, UK",-1.987248,50.71505,"07/01/2016 23:31:00","EMEA (EU, Middle East & Africa)","To anywhere in my country","Attending a satRday, Helping out a satRday, Helping publicise the events, Helping with central organisation"
"London, UK",-0.1277583,51.5073509,"07/01/2016 23:40:00","EMEA (EU, Middle East & Africa)","To my nearest city","Attending a satRday"
