"location","lon","lat","date","region","travel","roles"
"Logatec, Slovenia",NA,NA,"08/01/2016 16:18:00","EMEA (EU, Middle East & Africa)","To anywhere in my continent","Attending a satRday, Helping out a satRday"
"Dallas,USA",NA,NA,"08/01/2016 16:24:00","NA (North America)","To my nearest city","Attending a satRday, Helping out a satRday, Helping publicise the events, Presenting at a satRday, Organising a satRday"
"Oxford, UK",NA,NA,"08/01/2016 16:24:00","EMEA (EU, Middle East & Africa)","To my nearest city","Attending a satRday, Helping out a satRday, Presenting at a satRday"
"Charlottesville, VA, USA",NA,NA,"08/01/2016 16:30:00","NA (North America)","To my nearest city","Attending a satRday"
"Grand Rapids, US",NA,NA,"08/01/2016 16:32:00","NA (North America)","To anywhere in my country","Attending a satRday, Helping out a satRday"
"Los Angeles, USA",NA,NA,"08/01/2016 16:33:00","NA (North America)","To my nearest city","Attending a satRday"
"London,UK",NA,NA,"08/01/2016 16:34:00","EMEA (EU, Middle East & Africa)","To my nearest city","Attending a satRday"
"Atlanta, GA, USA",-84.3879824,33.7489954,"08/01/2016 16:34:00","NA (North America)","To my nearest city","Attending a satRday"
"Ann Arbor, USA",NA,NA,"08/01/2016 16:36:00","NA (North America)","To my nearest city","Attending a satRday, Helping out a satRday, Presenting at a satRday, Organising a satRday, Sponsoring an event"
"Madison, WI",NA,NA,"08/01/2016 16:42:00","NA (North America)","To my nearest city","Attending a satRday"
"Brasília",NA,NA,"08/01/2016 16:48:00","LATAM (Latin America)","To anywhere in my country","Helping out a satRday, Presenting at a satRday, Organising a satRday, Helping with central organisation"
"Toronto, Canada",NA,NA,"08/01/2016 16:49:00","NA (North America)","To my nearest city","Attending a satRday, Helping out a satRday, Helping publicise the events, Presenting at a satRday, Organising a satRday, Helping improve the website, Helping with central organisation, I may help find sponsors, but I am just a consultant"
"Chicago, USA",-87.6297982,41.8781136,"08/01/2016 16:51:00","NA (North America)","To anywhere in the the world","Attending a satRday, Presenting at a satRday"
"New York City, USA",NA,NA,"08/01/2016 16:53:00","NA (North America)","To my nearest city","Attending a satRday"
"Riyadh",NA,NA,"08/01/2016 16:53:00","EMEA (EU, Middle East & Africa)","To my nearest city","Attending a satRday, Helping publicise the events, Helping improve the website"
"Denver, US",NA,NA,"08/01/2016 16:54:00","NA (North America)","To my nearest city","Attending a satRday, Helping out a satRday, Organising a satRday"
"London, UK",-0.1277583,51.5073509,"08/01/2016 17:02:00","EMEA (EU, Middle East & Africa)","To my nearest city","Attending a satRday"
"Chicago, IL",-87.6297982,41.8781136,"08/01/2016 17:11:00","NA (North America)","To my nearest city","Attending a satRday, Helping out a satRday, Presenting at a satRday, Helping with central organisation"
"Decatur, IL",NA,NA,"08/01/2016 17:14:00","NA (North America)","To my nearest city","Attending a satRday, Helping out a satRday"
"Spain",NA,NA,"08/01/2016 17:14:00","EMEA (EU, Middle East & Africa)","To my nearest city","Attending a satRday, Presenting at a satRday"
"Vienna, Austria",NA,NA,"08/01/2016 17:24:00","EMEA (EU, Middle East & Africa)","To my nearest city","Attending a satRday, Helping out a satRday, Organising a satRday"
"Modesto USA",NA,NA,"08/01/2016 17:30:00","NA (North America)","To my nearest city","Attending a satRday, Helping out a satRday, Organising a satRday"
"Reno, United States",NA,NA,"08/01/2016 17:31:00","NA (North America)","To my nearest city","Attending a satRday, Helping out a satRday, Organising a satRday, Helping with central organisation"
"Berkeley, USA",NA,NA,"08/01/2016 17:34:00","NA (North America)","To my nearest city","Attending a satRday, Helping out a satRday"
"Waco, TX, USA (available to travel to Austin, TX or Dallas, TX)",NA,NA,"08/01/2016 17:36:00","NA (North America)","To anywhere in the the world","Attending a satRday, Helping out a satRday, Presenting at a satRday, Organising a satRday"
"Konstanz, germany",NA,NA,"08/01/2016 17:43:00","EMEA (EU, Middle East & Africa)","To my nearest city","Attending a satRday, Helping out a satRday, Presenting at a satRday"
"Athens, GA, USA",NA,NA,"08/01/2016 17:45:00","NA (North America)","To my nearest city","Attending a satRday, Helping out a satRday, Presenting at a satRday"
"Houston, USA",NA,NA,"08/01/2016 17:46:00","NA (North America)","To my nearest city","Attending a satRday, Helping out a satRday, Helping publicise the events"
"Oshkosh, United States",NA,NA,"08/01/2016 17:47:00","NA (North America)","To my nearest city","Attending a satRday"
"London, UK",-0.1277583,51.5073509,"08/01/2016 17:49:00","EMEA (EU, Middle East & Africa)","To my nearest city","Attending a satRday"
"Davis, CA",NA,NA,"08/01/2016 17:51:00","NA (North America)","To my nearest city","Attending a satRday, Helping out a satRday, Presenting at a satRday"
"Atlanta, USA",NA,NA,"08/01/2016 17:52:00","NA (North America)","To my nearest city","Attending a satRday, Helping out a satRday, Helping publicise the events, Presenting at a satRday"
"North Bay, Canada",NA,NA,"08/01/2016 18:03:00","NA (North America)","To my nearest city","Attending a satRday, Helping out a satRday, Helping publicise the events, Presenting at a satRday, Helping with central organisation"
"Montpellier, France",NA,NA,"08/01/2016 18:23:00","EMEA (EU, Middle East & Africa)","To anywhere in my country","Attending a satRday, Helping out a satRday, Helping publicise the events, Presenting at a satRday"
"Calgary, Canada",NA,NA,"08/01/2016 18:26:00","NA (North America)","To my nearest city","Attending a satRday, Helping out a satRday, Helping publicise the events, Presenting at a satRday"
"Auburn, KS",NA,NA,"08/01/2016 18:48:00","NA (North America)","To anywhere in my country","Attending a satRday"
"Madison, USA",NA,NA,"08/01/2016 18:51:00","NA (North America)","To my nearest city","Attending a satRday, Helping out a satRday, Helping publicise the events, Presenting at a satRday, Organising a satRday"
"istanbul, turkey",NA,NA,"08/01/2016 19:06:00","EMEA (EU, Middle East & Africa)","To anywhere in my continent","Attending a satRday, Helping improve the website"
"Seattle, USA",-122.3320708,47.6062095,"08/01/2016 19:07:00","NA (North America)","To my nearest city","Attending a satRday, Helping out a satRday"
"San Juan, Puerto Rico",NA,NA,"08/01/2016 19:19:00","LATAM (Latin America)","To anywhere in my continent","Attending a satRday, Helping out a satRday, Organising a satRday, Helping with central organisation"
"Brussels, Belgium",4.3517103,50.8503396,"08/01/2016 19:22:00","EMEA (EU, Middle East & Africa)","To my nearest city","Attending a satRday"
"Nashville, Tennessee",NA,NA,"08/01/2016 19:26:00","NA (North America)","To my nearest city","Attending a satRday, Helping out a satRday"
"New York, USA",NA,NA,"08/01/2016 19:26:00","NA (North America)","To my nearest city","Attending a satRday"
"Indianapolis, IN USA",NA,NA,"08/01/2016 19:29:00","NA (North America)","To my nearest city","Attending a satRday, Helping out a satRday, Helping publicise the events, Organising a satRday, Helping with central organisation"
"Tampa Florida, USA",NA,NA,"08/01/2016 19:32:00","NA (North America)","To my nearest city","Attending a satRday"
"Seattle, USA",-122.3320708,47.6062095,"08/01/2016 19:43:00","NA (North America)","To my nearest city","Attending a satRday, Helping out a satRday, Presenting at a satRday"
"Albany, NY, USA",NA,NA,"08/01/2016 20:02:00","NA (North America)","To my nearest city","Attending a satRday"
"Lisbon, Portugal",NA,NA,"08/01/2016 20:16:00","EMEA (EU, Middle East & Africa)","To my nearest city","Attending a satRday, Presenting at a satRday"
"London",-0.1277583,51.5073509,"08/01/2016 20:16:00","EMEA (EU, Middle East & Africa)","To anywhere in my country","Attending a satRday, Helping out a satRday, Presenting at a satRday, Organising a satRday"
"Boston, USA",NA,NA,"08/01/2016 20:20:00","NA (North America)","To my nearest city","Attending a satRday"
"London, uk",-0.1277583,51.5073509,"08/01/2016 20:23:00","EMEA (EU, Middle East & Africa)","To anywhere in my country","Attending a satRday"
"Los Angeles, CA",NA,NA,"08/01/2016 20:25:00","NA (North America)","To my nearest city","Attending a satRday, Helping out a satRday, Presenting at a satRday, Organising a satRday, Helping improve the website, Helping with central organisation, Sponsoring an event"
"Ottawa, Canada",NA,NA,"08/01/2016 20:27:00","NA (North America)","To my nearest city","Attending a satRday, Presenting at a satRday"
"Denver, USA",NA,NA,"08/01/2016 20:35:00","NA (North America)","To my nearest city","Attending a satRday"
"Mumbai, Maharashtra",NA,NA,"08/01/2016 20:38:00","APAC (Asia - Pacific)","To my nearest city","Attending a satRday, Helping out a satRday, Helping publicise the events, Presenting at a satRday, Organising a satRday"
"Cambridge, USA",NA,NA,"08/01/2016 20:40:00","NA (North America)","To my nearest city","Attending a satRday"
"St. Petersburg, United States",NA,NA,"08/01/2016 20:40:00","NA (North America)","To my nearest city","Attending a satRday"
"Princeton, US",NA,NA,"08/01/2016 20:50:00","NA (North America)","To my nearest city","Attending a satRday, Helping out a satRday"
"Tübingen, Germany",NA,NA,"08/01/2016 21:17:00","EMEA (EU, Middle East & Africa)","To anywhere in my country","Attending a satRday, Helping publicise the events"
"Chicago",NA,NA,"08/01/2016 21:48:00","NA (North America)","To my nearest city","Attending a satRday, Helping out a satRday, Presenting at a satRday, Helping improve the website"
"London",-0.1277583,51.5073509,"08/01/2016 22:03:00","EMEA (EU, Middle East & Africa)","To anywhere in my country","Presenting at a satRday, Sponsoring an event"
"State College, Pennsylvania, United States Of America",NA,NA,"08/01/2016 22:20:00","NA (North America)","To my nearest city","Attending a satRday"
"Atanta, USA",NA,NA,"08/01/2016 22:58:00","NA (North America)","To my nearest city","Attending a satRday"
"Washington DC, USA",NA,NA,"08/01/2016 23:07:00","NA (North America)","To my nearest city","Attending a satRday, Helping out a satRday, Helping publicise the events"
"Birmingham, UK",NA,NA,"08/01/2016 23:19:00","EMEA (EU, Middle East & Africa)","To my nearest city","Attending a satRday"
"Huntington Beach",NA,NA,"08/01/2016 23:27:00","NA (North America)","To my nearest city","Attending a satRday, Presenting at a satRday"
"Austin, TX",NA,NA,"08/01/2016 23:44:00","NA (North America)","To my nearest city","Attending a satRday, Helping out a satRday, Helping publicise the events"
"London, UK",-0.1277583,51.5073509,"08/01/2016 23:52:00","EMEA (EU, Middle East & Africa)","To my nearest city","Attending a satRday, Helping improve the website, Helping with central organisation, Sponsoring an event"
"San Mateo, USA",NA,NA,"08/01/2016 23:53:00","NA (North America)","To my nearest city","Attending a satRday"
"Sydney, Australia",151.2069902,-33.8674869,"08/01/2016 23:57:00","APAC (Asia - Pacific)","To anywhere in my country","Attending a satRday"
"London, United Kingdom",-0.1277583,51.5073509,"09/01/2016 00:08:00","EMEA (EU, Middle East & Africa)","To my nearest city","Attending a satRday, Helping out a satRday, Organising a satRday, Helping with central organisation"
"Houston, USA",NA,NA,"09/01/2016 00:15:00","NA (North America)","To my nearest city","Attending a satRday"
"New York, USA",NA,NA,"09/01/2016 00:15:00","NA (North America)","To my nearest city","Attending a satRday, Helping out a satRday, Helping publicise the events, Organising a satRday"
"Troy, usa",NA,NA,"09/01/2016 00:33:00","NA (North America)","To anywhere in my country","Attending a satRday"
"Provo, Utah",NA,NA,"09/01/2016 01:53:00","NA (North America)","To my nearest city","Attending a satRday"
"Louisville, USA",-85.7584557,38.2526647,"09/01/2016 02:01:00","NA (North America)","To my nearest city","Attending a satRday, Helping out a satRday, Presenting at a satRday"
"Farnham, Surrey",NA,NA,"09/01/2016 02:06:00","EMEA (EU, Middle East & Africa)","To my nearest city","Attending a satRday, Helping out a satRday, Presenting at a satRday"
"South Kingstown, RI, USA",NA,NA,"09/01/2016 02:51:00","NA (North America)","To my nearest city","Helping publicise the events, Organising a satRday, Helping improve the website, Helping with central organisation"
"PrincetonNJ, USA",NA,NA,"09/01/2016 02:52:00","NA (North America)","To my nearest city","Helping out a satRday, Presenting at a satRday"
"Atlanta, USA",NA,NA,"09/01/2016 02:53:00","NA (North America)","To my nearest city","Attending a satRday"
"Vancouver, Canada",-123.1207375,49.2827291,"09/01/2016 02:56:00","NA (North America)","To my nearest city","Attending a satRday, Helping out a satRday, Helping publicise the events, Organising a satRday, Helping with central organisation"
"Novato, CA",NA,NA,"09/01/2016 03:01:00","NA (North America)","To my nearest city","Attending a satRday"
"Vancouver, Canada",-123.1207375,49.2827291,"09/01/2016 03:17:00","NA (North America)","To my nearest city","Attending a satRday"
"New York, NY USA",NA,NA,"09/01/2016 04:04:00","NA (North America)","To my nearest city","Attending a satRday, Helping out a satRday, Helping publicise the events"
"san jose, USA",NA,NA,"09/01/2016 04:06:00","NA (North America)","To my nearest city","Attending a satRday"
"singapore",NA,NA,"09/01/2016 04:56:00","APAC (Asia - Pacific)","To my nearest city","Attending a satRday, Helping out a satRday"
"Kota Kinabalu, Sabah, Malaysia",NA,NA,"09/01/2016 05:13:00","APAC (Asia - Pacific)","To anywhere in my country","Attending a satRday, Helping out a satRday, Helping publicise the events"
"Providence, RI",NA,NA,"09/01/2016 05:23:00","NA (North America)","To my nearest city","Attending a satRday, Helping out a satRday, Helping publicise the events, Presenting at a satRday, Helping with central organisation"
"New York, NY",NA,NA,"09/01/2016 05:24:00","NA (North America)","To my nearest city","Attending a satRday"
"Spokane, WA",NA,NA,"09/01/2016 05:53:00","NA (North America)","To my nearest city","Attending a satRday, Helping out a satRday, Presenting at a satRday"
"Bridgeton, NJ, USA",NA,NA,"09/01/2016 07:32:00","NA (North America)","To my nearest city","Attending a satRday, Helping out a satRday, Presenting at a satRday"
"Athens,Greece",NA,NA,"09/01/2016 07:38:00","EMEA (EU, Middle East & Africa)","To my nearest city","Attending a satRday, Helping out a satRday, Helping publicise the events, Presenting at a satRday"
"Munich, Germany",11.5819806,48.1351253,"09/01/2016 07:38:00","EMEA (EU, Middle East & Africa)","To anywhere in my continent","Attending a satRday, Organising a satRday, Helping with central organisation"
"London, UK",-0.1277583,51.5073509,"09/01/2016 07:46:00","EMEA (EU, Middle East & Africa)","To my nearest city","Attending a satRday"
"Richmond, Canada",NA,NA,"09/01/2016 07:46:00","NA (North America)","To my nearest city","Attending a satRday"
"Barcelona, Spain",NA,NA,"09/01/2016 08:49:00","EMEA (EU, Middle East & Africa)","To my nearest city","Attending a satRday, Helping out a satRday, Helping publicise the events, Presenting at a satRday, I never organized an event but I am frequently im touch with RugB (R user group Barcelona) organizers and they might be interested in organizing one satRdays event"
"St. Petersburg, Russia",NA,NA,"09/01/2016 09:22:00","EMEA (EU, Middle East & Africa)","To anywhere in my continent","Attending a satRday, Helping out a satRday, Presenting at a satRday, Organising a satRday, Helping with central organisation"
"Oberageri,Switzerland",NA,NA,"09/01/2016 09:49:00","EMEA (EU, Middle East & Africa)","To anywhere in my country","Attending a satRday, Helping out a satRday, Helping publicise the events, Presenting at a satRday"
"Los Angeles, USA",NA,NA,"09/01/2016 10:14:00","NA (North America)","To my nearest city","Attending a satRday, Helping out a satRday, Helping publicise the events, Helping improve the website"
"Malaysia",NA,NA,"09/01/2016 10:22:00","APAC (Asia - Pacific)","To anywhere in the the world","Attending a satRday, Helping out a satRday, Presenting at a satRday, Helping improve the website, Helping with central organisation, Sponsoring an event"
"Lancaster, UK",-2.8007399,54.046575,"09/01/2016 11:33:00","EMEA (EU, Middle East & Africa)","To my nearest city","Attending a satRday, Helping out a satRday, Helping publicise the events, Presenting at a satRday"
"Warsaw, Poland",NA,NA,"09/01/2016 11:39:00","EMEA (EU, Middle East & Africa)","To anywhere in my country","Attending a satRday, Helping out a satRday, Helping publicise the events, Presenting at a satRday, Organising a satRday, Helping improve the website, Helping with central organisation"
"Saco, ME USA",NA,NA,"09/01/2016 11:44:00","NA (North America)","To my nearest city","Attending a satRday, Helping out a satRday, Organising a satRday"
"Indianapolis, United States",NA,NA,"09/01/2016 12:34:00","NA (North America)","To my nearest city","Attending a satRday, Helping publicise the events, Presenting at a satRday, Helping improve the website"
"Paris, France",NA,NA,"09/01/2016 12:34:00","EMEA (EU, Middle East & Africa)","To anywhere in my country","Attending a satRday, Helping out a satRday, Presenting at a satRday"
"Halifax, Canada",NA,NA,"09/01/2016 13:02:00","NA (North America)","To my nearest city","Attending a satRday, Helping out a satRday, Helping publicise the events, Presenting at a satRday, Organising a satRday"
